Date,Open,High,Low,Close,Volume,rsi,macd,macd_signal,atr,ema20,ema50,signal,swing_high,swing_low,fib_0.236,fib_0.382,fib_0.5,fib_0.618,fib_0.786,position,returns,capital,cummax,drawdown
2000-02-08,4370.009765625,4428.47998046875,4370.009765625,4427.5,1971180000,62.380214522860626,55.924309722140606,16.50505849435458,126.95284598214286,4135.046953142154,4105.689884050737,SELL,,,4689.3696123046875,4509.480110839844,4364.0899658203125,4218.699820800781,4011.703682128906,0.0,0.0,10000.0,10000.0,0.0
2000-02-10,4390.16015625,4485.669921875,4357.68994140625,4485.6298828125,1813590000,60.271581965248224,84.08194588109654,38.04587433520517,132.13563755580358,4188.098716709053,4130.293426613397,SELL,,,4689.3696123046875,4509.480110839844,4364.0899658203125,4218.699820800781,4011.703682128906,0.0,0.0,10145.137810559007,10145.137810559007,0.0
2000-02-11,4489.330078125,4489.7900390625,4360.5400390625,4395.4501953125,1738590000,62.80531435896986,89.57642682286405,48.351984832736946,126.52207728794643,4207.846476576048,4140.6917312682635,SELL,,,4689.3696123046875,4509.480110839844,4364.0899658203125,4218.699820800781,4011.703682128906,-1.0,0.020104130268424503,10349.096982693602,10349.096982693602,0.0
2000-02-14,4434.3798828125,4435.9599609375,4355.5400390625,4418.5498046875,1600850000,61.20460127283524,94.703109484386,57.62220976306676,122.3292236328125,4227.91346020571,4151.588126304312,SELL,,,4689.3696123046875,4509.480110839844,4364.0899658203125,4218.699820800781,4011.703682128906,-1.0,-0.005255345493309083,10294.708902505785,10349.096982693602,-0.005255345493308972
2000-02-15,4415.52001953125,4440.6201171875,4291.10009765625,4420.77001953125,1708930000,67.1081387057259,97.81761463995917,65.66129073844525,125.52277483258929,4246.280751570047,4162.144278979878,SELL,,,4689.3696123046875,4509.480110839844,4364.0899658203125,4218.699820800781,4011.703682128906,-1.0,-0.0005024759122087552,10289.536059259075,10349.096982693602,-0.005755180720997011
2000-02-16,4427.18994140625,4477.64013671875,4413.66015625,4427.64990234375,1782130000,69.36675160855968,99.69184591623525,72.46740177400325,118.19993373325893,4263.554004024685,4172.556264209834,SELL,,,4689.3696123046875,4509.480110839844,4364.0899658203125,4218.699820800781,4011.703682128906,-1.0,-0.001556263452318074,10273.52283034874,10349.096982693602,-0.007302487595897578
2000-02-17,4483.009765625,4553.14013671875,4444.75,4548.919921875,2008440000,84.09035978677626,109.69813299368798,79.9135480179402,113.44351632254464,4290.73171048662,4187.315623333959,SELL,,,4689.3696123046875,4509.480110839844,4364.0899658203125,4218.699820800781,4011.703682128906,-1.0,-0.027389252132842934,9992.1387232558,10349.096982693602,-0.03449173005477946
2000-02-18,4563.72021484375,4564.4501953125,4404.60986328125,4411.740234375,1898410000,72.34863619674991,105.34458645330324,84.99975570501282,111.11568777901786,4302.256331809323,4196.116588472823,SELL,,,4689.3696123046875,4509.480110839844,4364.0899658203125,4218.699820800781,4011.703682128906,-1.0,0.03015654042189786,10293.467058564873,10349.096982693602,-0.0053753408844999795
2000-02-22,4432.830078125,4443.93994140625,4291.009765625,4382.1201171875,1772290000,66.97171527212649,98.3703217078064,87.67386890557154,111.94499860491071,4309.862406607244,4203.4108445008505,SELL,,,4689.3696123046875,4509.480110839844,4364.0899658203125,4218.699820800781,4011.703682128906,-1.0,0.006713930470499729,10362.576680696458,10362.576680696458,0.0
2000-02-23,4406.8798828125,4567.97021484375,4401.3798828125,4550.330078125,1892800000,71.28840770846844,105.20358328731436,91.17981178192011,119.91214425223214,4332.764089608935,4217.015520329249,SELL,,,4689.3696123046875,4509.480110839844,4364.0899658203125,4218.699820800781,4011.703682128906,-1.0,-0.03838552035069709,9964.803782633926,10362.576680696458,-0.03838552035069709
